CUST NO.,XCOORD.,YCOORD.,READY TIME,DUE DATE,DEMAND,SERVICE TIME
0,100.0,0.0,0.0,24.0,0,0.0
1,96.98,17.1,15.3,23.0,6,0.5
2,94.47,22.85,13.6,15.8,2,0.5
3,91.26,28.25,13.3,15.0,5,0.5
4,87.39,33.2,8.7,17.1,6,0.5
5,82.93,37.62,10.7,15.1,5,0.5
6,77.96,41.45,12.9,17.3,6,0.5
7,72.54,44.63,13.1,19.6,2,0.5
8,66.77,47.1,11.8,20.8,3,0.5
9,60.74,48.83,10.6,21.6,7,0.5
10,54.53,49.79,8.2,9.7,3,0.5
11,48.26,49.97,15.8,23.2,4,0.5
12,42.01,49.36,15.0,21.5,7,0.5
13,35.88,47.97,14.3,17.8,3,0.5
14,29.98,45.82,12.4,19.3,7,0.5
15,24.4,42.95,11.7,17.1,6,0.5
16,19.22,39.4,13.4,22.3,3,0.5
17,14.52,35.23,12.6,15.9,6,0.5
18,10.39,30.51,12.7,22.7,6,0.5
19,6.87,25.3,13.6,18.0,7,0.5
20,4.04,19.7,15.1,22.2,4,0.5
21,1.94,13.78,9.6,17.1,3,0.5
22,0.59,7.65,11.2,23.3,4,0.5
23,0.02,1.4,13.6,16.5,6,0.5
24,0.24,-4.88,11.8,18.4,2,0.5
25,1.24,-11.08,12.5,18.8,7,0.5
26,3.02,-17.1,11.6,18.6,5,0.5
27,5.53,-22.85,10.7,21.2,6,0.5
28,8.74,-28.25,11.2,21.5,7,0.5
29,12.61,-33.2,9.9,18.8,6,0.5
30,17.07,-37.62,10.8,14.7,2,0.5
31,22.04,-41.45,12.0,19.3,3,0.5
32,27.46,-44.63,14.0,21.9,2,0.5
33,33.23,-47.1,13.4,15.8,4,0.5
34,39.26,-48.83,10.2,19.6,7,0.5
35,45.47,-49.79,12.9,14.9,7,0.5
36,51.74,-49.97,13.9,18.4,5,0.5
37,57.99,-49.36,12.4,14.6,3,0.5
38,64.12,-47.97,12.4,15.8,5,0.5
39,70.02,-45.82,9.3,14.4,4,0.5
40,75.6,-42.95,9.0,13.7,5,0.5
41,80.78,-39.4,12.5,16.3,2,0.5
42,85.48,-35.23,11.1,12.9,5,0.5
43,89.61,-30.51,9.7,11.9,6,0.5
44,93.13,-25.3,9.5,18.5,4,0.5
45,95.96,-19.7,13.9,16.7,4,0.5
46,98.06,-13.78,13.2,14.2,7,0.5
47,99.41,-7.65,10.5,16.7,7,0.5
48,99.98,-1.4,8.2,10.0,2,0.5
49,99.76,4.88,9.7,17.9,2,0.5
50,98.76,11.08,11.0,12.8,2,0.5
